Date,Adj Close,Year,,,Year,First Close,Last Close,Return for Year,Total Return 20 Years,Average Return 20 Years
2/4/1994,469.809998,1994,,,,,,,,
2/7/1994,471.76001,1994,,,,,,,,
2/8/1994,471.049988,1994,,,,,,,,
2/9/1994,472.769989,1994,,,,,,,,
2/10/1994,468.929993,1994,,,,,,,,
2/11/1994,470.179993,1994,,,,,,,,
2/14/1994,470.230011,1994,,,,,,,,
2/15/1994,472.519989,1994,,,,,,,,
2/16/1994,472.790009,1994,,,,,,,,
2/17/1994,470.339996,1994,,,,,,,,
2/18/1994,467.690002,1994,,,,,,,,
2/22/1994,471.459991,1994,,,,,,,,
2/23/1994,470.690002,1994,,,,,,,,
2/24/1994,464.26001,1994,,,,,,,,
2/25/1994,466.070007,1994,,,,,,,,
2/28/1994,467.140015,1994,,,,,,,,
3/1/1994,464.440002,1994,,,,,,,,
3/2/1994,464.809998,1994,,,,,,,,
3/3/1994,463.01001,1994,,,,,,,,
3/4/1994,464.73999,1994,,,,,,,,
3/7/1994,466.910004,1994,,,,,,,,
3/8/1994,465.880005,1994,,,,,,,,
3/9/1994,467.059998,1994,,,,,,,,
3/10/1994,463.899994,1994,,,,,,,,
3/11/1994,466.440002,1994,,,,,,,,
3/14/1994,467.390015,1994,,,,,,,,
3/15/1994,467.01001,1994,,,,,,,,
3/16/1994,469.420013,1994,,,,,,,,
3/17/1994,470.899994,1994,,,,,,,,
3/18/1994,471.059998,1994,,,,,,,,
3/21/1994,468.540009,1994,,,,,,,,
3/22/1994,468.799988,1994,,,,,,,,
3/23/1994,468.540009,1994,,,,,,,,
3/24/1994,464.350006,1994,,,,,,,,
3/25/1994,460.579987,1994,,,,,,,,
3/28/1994,460,1994,,,,,,,,
3/29/1994,452.480011,1994,,,,,,,,
3/30/1994,445.549988,1994,,,,,,,,
3/31/1994,445.769989,1994,,,,,,,,
4/4/1994,438.920013,1994,,,,,,,,
4/5/1994,448.290009,1994,,,,,,,,
4/6/1994,448.049988,1994,,,,,,,,
4/7/1994,450.880005,1994,,,,,,,,
4/8/1994,447.100006,1994,,,,,,,,
4/11/1994,449.869995,1994,,,,,,,,
4/12/1994,447.570007,1994,,,,,,,,
4/13/1994,446.26001,1994,,,,,,,,
4/14/1994,446.380005,1994,,,,,,,,
4/15/1994,446.179993,1994,,,,,,,,
4/18/1994,442.459991,1994,,,,,,,,
4/19/1994,442.540009,1994,,,,,,,,
4/20/1994,441.959991,1994,,,,,,,,
4/21/1994,448.730011,1994,,,,,,,,
4/22/1994,447.630005,1994,,,,,,,,
4/25/1994,452.709991,1994,,,,,,,,
4/26/1994,451.869995,1994,,,,,,,,
4/28/1994,449.100006,1994,,,,,,,,
4/29/1994,450.910004,1994,,,,,,,,
5/2/1994,453.019989,1994,,,,,,,,
5/3/1994,453.029999,1994,,,,,,,,
5/4/1994,451.720001,1994,,,,,,,,
5/5/1994,451.380005,1994,,,,,,,,
5/6/1994,447.820007,1994,,,,,,,,
5/9/1994,442.320007,1994,,,,,,,,
5/10/1994,446.01001,1994,,,,,,,,
5/11/1994,441.48999,1994,,,,,,,,
5/12/1994,443.75,1994,,,,,,,,
5/13/1994,444.140015,1994,,,,,,,,
5/16/1994,444.48999,1994,,,,,,,,
5/17/1994,449.369995,1994,,,,,,,,
5/18/1994,453.690002,1994,,,,,,,,
5/19/1994,456.480011,1994,,,,,,,,
5/20/1994,454.920013,1994,,,,,,,,
5/23/1994,453.200012,1994,,,,,,,,
5/24/1994,454.809998,1994,,,,,,,,
5/25/1994,456.339996,1994,,,,,,,,
5/26/1994,457.059998,1994,,,,,,,,
5/27/1994,457.329987,1994,,,,,,,,
5/31/1994,456.5,1994,,,,,,,,
6/1/1994,457.630005,1994,,,,,,,,
6/2/1994,457.649994,1994,,,,,,,,
6/3/1994,460.130005,1994,,,,,,,,
6/6/1994,458.880005,1994,,,,,,,,
6/7/1994,458.209991,1994,,,,,,,,
6/8/1994,457.059998,1994,,,,,,,,
6/9/1994,457.859985,1994,,,,,,,,
6/10/1994,458.670013,1994,,,,,,,,
